"contract_id","source_tier","sample_id","qc_cells","raw_genes","counts_sha256","raw_cache_bytes","raw_cache_sha256","selection_axes","selected_cells_per_axis","selection_axis_sha256","normalization_fit_scope","topology_observation_scope","exact500_panel_sha256","outcome_label_state","biological_outcomes_computed"
"mv08n_internal_source_axis_v1","primary90","SRA621638_SRS2610285",832,14363,"f5018a5c6e356aa9f9f3dc4207c8aac08624bd847184c8a475d7043d9ec45f6e",2609627,"958c26a2a79f1a02a8f813cb6ff9f7e139f3fab0990c19474d17e8cd97ff4810",5,384,"151f0efbd1f7d60a87574fbe8d58e097c09265181bb0b7706278186b375f9d85","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA628554_SRS2664364",3410,16309,"3b3f6e57e2b3d5fe7c4c72204d7664673e6ec8f21a4828f76be237fdbfc7db0a",5729833,"aff05dd0ba2f583cb4b315998bf811000e9522724b1bee642c450a7181939a97",5,384,"cf277f55ea1f7f6c03e5c42bf9e68e3cd1e968c48b7190414407b4668d93edc8","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA628554_SRS2664365",3141,17353,"286e29e1c1294ca0814b2f241e9f09bbf69fcc663a67bc7ebcb12ffb18b0b089",6331194,"f478209802fc4847ebe8ac7e1c8720c93acade128cf8c667e25e1994dd06e678",5,384,"b0ca7b8339af8fcdeeb73ef5c053ecf69c715d2babae9d276f67b69ea921a74a","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA645804_SRS2823404",4205,34840,"98a9d02d4e86352c6f1d0b7cee13e2a18de48290d8c1fc70d6d2cb423a5c2e15",35176183,"0d5afcfb9fe2fb8c03f0d63c02d0083a476e129bb7ed69661643517277326fec",5,384,"c2238fccec01e150a50554aa7964f51bb95dfc3990ea8c61ec45eeaadfbb76d5","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA645804_SRS2823405",3680,33659,"64dba4c12aa648cf20ec82a01b3b7f08a2bcb4e6ac7dc5137181894e2c60aded",26729910,"b42de4ff302c1af0d1bd2aa551afe30efc3771d44fba86c7ae4fdb33eb4f141c",5,384,"13747bca902964b133fcaf2933b46fc598968685cb918509bc6246d0681fcdb0","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA645804_SRS2823406",4297,36376,"6271f79465a637de0e84e9dfe96f307c424b86d7e6bcec1f953e2020aa592d67",39226827,"651d64d4a3f194f8bd98de5826029e8e4119d8f5577571cc7a89e1894c1343a0",5,384,"42b06d4f84549fbb4ee08101b7379a46b8f32a6483f48193487321b6b1b64c00","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA645804_SRS2823407",2708,30287,"05c43b0c8c77697ee82ca576bebfcef2831f5f0c9c3115e064addf95abf84773",16855491,"002d8c1a832a1febffd1ff3493c5c86c8d6714fc3c3148fdfd14bdeec7b95bc2",5,384,"c84973d2758083fe52c2ed7431df5405bd0960cc5cda075cf115ac08abaf056c","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA645804_SRS2823408",3006,35022,"0ccfdae515f56bf50712ebe5fb6512c1be972ba5d2927dcef50c34da9a4cb814",31535359,"e1e2aa06169eff84ab39e174d86022bb5d985bdb44e5e2b137aa5fc47ae385d3",5,384,"5def4507b121931835be579c3c71277dbc6101c8241442142ab231ba48607c4c","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA645804_SRS2823409",3897,33132,"80b6394c4b7bb1b618db57fe8e552fa6c74738020d3fdec127b682e4f4665975",27190508,"893056daa24503400b7d99d2b4fa10375985fc205627a0117324c9208287464b",5,384,"eb8562583077082523c9a0a095e815da8664ed6bc542b1589ad7a370d533cef6","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
"mv08n_internal_source_axis_v1","primary90","SRA645804_SRS2823410",3561,33063,"7518ca4245a0f58ca26682fd6f37521b172178dbdaf2fa9983fa877e8f8712f3",40741352,"e5ebcd1423774b515c4ee003aaaef23ad8dd7bf50788349ffab0c4469ad0daff",5,384,"d2bda2a75740da29c21c562c91057c3b6db2adb0235fcf14ff12daac8c141b2f","all_frozen_qc_cells_per_sample","frozen_selected384_per_seed","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","closed",FALSE
