"contract_id","job_order","dataset_scope","source_tier","unit_id","fit_cells","selected_axes","selected_cells_per_axis","source_sha256","sentinel_role","authorization_state","repeat_required","output_file","elapsed_cap_seconds","rss_cap_bytes","workers","retries","outcome_label_state","biological_outcomes_computed"
"mv08n_residual_source_queue_v1",56,"internal124","primary90","SRA728025_SRS3454421",586,5,384,"ee26586a7a9f11d1edc2c949dba9804eeb455abd4c791bd9f4d01ae9ab43ec85","none","closed_pending_sentinel",FALSE,"internal/SRA728025_SRS3454421__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",57,"internal124","primary90","SRA728025_SRS3454422",484,5,384,"0646e78cfd3a2052cb3266101cbb067ccd27c5e50972002e53b6c08cf2071aa0","none","closed_pending_sentinel",FALSE,"internal/SRA728025_SRS3454422__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",58,"internal124","primary90","SRA728025_SRS3454423",421,5,384,"dc0b2a458b96a4283b9d60b63a3b405ebee6c184787f7e3726e8d3ddc56bc2c7","none","closed_pending_sentinel",FALSE,"internal/SRA728025_SRS3454423__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",59,"internal124","primary90","SRA728025_SRS3454424",1228,5,384,"9e671955e46849dbf3e05c0a2becd84762d20df76da19bb75c1456979a8b7757","none","closed_pending_sentinel",FALSE,"internal/SRA728025_SRS3454424__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",60,"internal124","primary90","SRA728025_SRS3454425",1710,5,384,"7f9d4617250e555a7b88ecc9710d255479fe63c7704b24b09bda78dd26d33a2b","none","closed_pending_sentinel",FALSE,"internal/SRA728025_SRS3454425__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",61,"internal124","primary90","SRA728025_SRS3454426",2009,5,384,"fa4987dc62ef0c451c2943a43e25f748401ab3560a8d3b15643c664c1d5a0003","none","closed_pending_sentinel",FALSE,"internal/SRA728025_SRS3454426__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",62,"internal124","primary90","SRA728025_SRS3454427",1280,5,384,"5ec32339b8c8f8cbfacb224839dde1b5d66bc2a000eb085fe097f8907b877441","none","closed_pending_sentinel",FALSE,"internal/SRA728025_SRS3454427__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",63,"internal124","primary90","SRA728025_SRS3454428",1473,5,384,"9850a0578885ebeead620433f40357058a141f8be7147fa83af52ca1819979c8","none","closed_pending_sentinel",FALSE,"internal/SRA728025_SRS3454428__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",64,"internal124","primary90","SRA728025_SRS3454430",2127,5,384,"0b3ac602ffae98631ed8c003fb56d81ff58b5d014e97a4d7f90e0c73b946963a","none","closed_pending_sentinel",FALSE,"internal/SRA728025_SRS3454430__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",65,"internal124","primary90","SRA740174_SRS3548780",614,5,384,"6f02be1c9b70ab9714535ec30bab75227df0e092de01230bbe886e8d112a87a7","none","closed_pending_sentinel",FALSE,"internal/SRA740174_SRS3548780__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",66,"internal124","primary90","SRA740174_SRS3548781",952,5,384,"9f8fc1a209032a4a3d0f9cbc0209c97cc5d0f00d3e66d076f8ad5cbe6978313d","none","closed_pending_sentinel",FALSE,"internal/SRA740174_SRS3548781__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",67,"internal124","primary90","SRA740174_SRS3548782",646,5,384,"22335339643af8dd410c9ce6b70449686a51d62f21d43e8b745d0c197573c8ca","none","closed_pending_sentinel",FALSE,"internal/SRA740174_SRS3548782__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
"mv08n_residual_source_queue_v1",68,"internal124","primary90","SRA740174_SRS3548783",955,5,384,"331fcb50da236131072799a1196ee8c4ce76b409bdf5ac03a1f97d6155b3eeb4","none","closed_pending_sentinel",FALSE,"internal/SRA740174_SRS3548783__exact500_allqc_sct_model.rds",1800,12884901888,1,0,"closed",FALSE
