"comparison_order","dataset_scope","contrast_id","seed","homology_dimension","metric","value"
25,"internal124","fit_scope_effect",20260808,"H1","median_neighbor_jaccard",0.742424242424242
25,"internal124","fit_scope_effect",20260808,"H1","nonnegative_scale",0.990962936325377
25,"internal124","fit_scope_effect",20260808,"H1","p10_neighbor_jaccard",0.538461538461538
25,"internal124","fit_scope_effect",20260808,"H1","p95_abs_median_scaled_change",0.0791764624583815
25,"internal124","fit_scope_effect",20260808,"H1","pearson",0.996129701623962
25,"internal124","fit_scope_effect",20260808,"H1","relative_stress",0.0332334137890849
25,"internal124","fit_scope_effect",20260808,"H1","right_median_distance",0.0273054720296919
25,"internal124","fit_scope_effect",20260808,"H1","spearman",0.995292791105198
28,"internal124","fit_scope_effect",20260809,"H1","left_median_distance",0.0277310665727456
28,"internal124","fit_scope_effect",20260809,"H1","mean_neighbor_jaccard",0.80656171785204
28,"internal124","fit_scope_effect",20260809,"H1","median_abs_median_scaled_change",0.0211808760472602
28,"internal124","fit_scope_effect",20260809,"H1","median_neighbor_jaccard",0.818181818181818
28,"internal124","fit_scope_effect",20260809,"H1","nonnegative_scale",0.989633229546797
28,"internal124","fit_scope_effect",20260809,"H1","p10_neighbor_jaccard",0.666666666666667
28,"internal124","fit_scope_effect",20260809,"H1","p95_abs_median_scaled_change",0.0682933618483466
28,"internal124","fit_scope_effect",20260809,"H1","pearson",0.9971345996821
28,"internal124","fit_scope_effect",20260809,"H1","relative_stress",0.02917706215199
28,"internal124","fit_scope_effect",20260809,"H1","right_median_distance",0.0273588059659983
28,"internal124","fit_scope_effect",20260809,"H1","spearman",0.99640156298321
2,"internal124","layer_effect",20260805,"H0","left_median_distance",1.02826616889684
2,"internal124","layer_effect",20260805,"H0","mean_neighbor_jaccard",0.397750582972295
2,"internal124","layer_effect",20260805,"H0","median_abs_median_scaled_change",0.153667129326108
2,"internal124","layer_effect",20260805,"H0","median_neighbor_jaccard",0.428571428571429
2,"internal124","layer_effect",20260805,"H0","nonnegative_scale",1.00085880085689
2,"internal124","layer_effect",20260805,"H0","p10_neighbor_jaccard",0.176470588235294
2,"internal124","layer_effect",20260805,"H0","p95_abs_median_scaled_change",0.481653143306578
2,"internal124","layer_effect",20260805,"H0","pearson",0.967371615415119
2,"internal124","layer_effect",20260805,"H0","relative_stress",0.146754387089426
2,"internal124","layer_effect",20260805,"H0","right_median_distance",1.11469655188785
2,"internal124","layer_effect",20260805,"H0","spearman",0.946357564111563
5,"internal124","layer_effect",20260806,"H0","left_median_distance",1.01388653649772
5,"internal124","layer_effect",20260806,"H0","mean_neighbor_jaccard",0.407783063973766
5,"internal124","layer_effect",20260806,"H0","median_abs_median_scaled_change",0.164034396228959
5,"internal124","layer_effect",20260806,"H0","median_neighbor_jaccard",0.428571428571429
5,"internal124","layer_effect",20260806,"H0","nonnegative_scale",1.00677371837607
5,"internal124","layer_effect",20260806,"H0","p10_neighbor_jaccard",0.176470588235294
5,"internal124","layer_effect",20260806,"H0","p95_abs_median_scaled_change",0.50873864429342
5,"internal124","layer_effect",20260806,"H0","pearson",0.967993386868695
5,"internal124","layer_effect",20260806,"H0","relative_stress",0.146597096349064
5,"internal124","layer_effect",20260806,"H0","right_median_distance",1.12444920472567
5,"internal124","layer_effect",20260806,"H0","spearman",0.946438444983456
8,"internal124","layer_effect",20260807,"H0","left_median_distance",1.04237609404409
8,"internal124","layer_effect",20260807,"H0","mean_neighbor_jaccard",0.395092754294542
8,"internal124","layer_effect",20260807,"H0","median_abs_median_scaled_change",0.155929771892994
8,"internal124","layer_effect",20260807,"H0","median_neighbor_jaccard",0.428571428571429
8,"internal124","layer_effect",20260807,"H0","nonnegative_scale",0.999543182981855
8,"internal124","layer_effect",20260807,"H0","p10_neighbor_jaccard",0.176470588235294
8,"internal124","layer_effect",20260807,"H0","p95_abs_median_scaled_change",0.473580258284564
8,"internal124","layer_effect",20260807,"H0","pearson",0.969050908755887
8,"internal124","layer_effect",20260807,"H0","relative_stress",0.143939423900061
8,"internal124","layer_effect",20260807,"H0","right_median_distance",1.12236140525223
8,"internal124","layer_effect",20260807,"H0","spearman",0.945844202215999
11,"internal124","layer_effect",20260808,"H0","left_median_distance",1.03751097952475
11,"internal124","layer_effect",20260808,"H0","mean_neighbor_jaccard",0.419651703451514
11,"internal124","layer_effect",20260808,"H0","median_abs_median_scaled_change",0.156997693207035
11,"internal124","layer_effect",20260808,"H0","median_neighbor_jaccard",0.428571428571429
11,"internal124","layer_effect",20260808,"H0","nonnegative_scale",1.01145968679526
11,"internal124","layer_effect",20260808,"H0","p10_neighbor_jaccard",0.176470588235294
11,"internal124","layer_effect",20260808,"H0","p95_abs_median_scaled_change",0.490630753096547
11,"internal124","layer_effect",20260808,"H0","pearson",0.968656920387652
11,"internal124","layer_effect",20260808,"H0","relative_stress",0.144803596338452
11,"internal124","layer_effect",20260808,"H0","right_median_distance",1.14517234904415
11,"internal124","layer_effect",20260808,"H0","spearman",0.947729880000782
14,"internal124","layer_effect",20260809,"H0","left_median_distance",1.0174216045978
14,"internal124","layer_effect",20260809,"H0","mean_neighbor_jaccard",0.411224350097565
14,"internal124","layer_effect",20260809,"H0","median_abs_median_scaled_change",0.156042790223242
14,"internal124","layer_effect",20260809,"H0","median_neighbor_jaccard",0.428571428571429
14,"internal124","layer_effect",20260809,"H0","nonnegative_scale",1.00596050007438
14,"internal124","layer_effect",20260809,"H0","p10_neighbor_jaccard",0.176470588235294
14,"internal124","layer_effect",20260809,"H0","p95_abs_median_scaled_change",0.490542173930126
14,"internal124","layer_effect",20260809,"H0","pearson",0.968795640369168
14,"internal124","layer_effect",20260809,"H0","relative_stress",0.144069332521592
14,"internal124","layer_effect",20260809,"H0","right_median_distance",1.12049883174266
14,"internal124","layer_effect",20260809,"H0","spearman",0.946719466779621
