"contract_id","dataset_scope","contrast_id","seed","metric","h0_value","h1_value","h1_minus_h0","interpretation"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260806,"p10_neighbor_jaccard",0.818181818181818,0.538461538461538,-0.27972027972028,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260807,"pearson",0.999693999374131,0.996992570605752,-0.00270142876837898,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260807,"spearman",0.999481012592489,0.996485482596973,-0.002995529995516,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260807,"nonnegative_scale",1.00486323616865,0.992055957616088,-0.012807278552562,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260807,"relative_stress",0.0144987236211457,0.0293050511751388,0.0148063275539931,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260807,"left_median_distance",1.0387078636052,0.0274852257996223,-1.01122263780558,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260807,"right_median_distance",1.04237609404409,0.0272059447057426,-1.01517014933835,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260807,"median_abs_median_scaled_change",0.013252656608543,0.021785335246794,0.008532678638251,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260807,"p95_abs_median_scaled_change",0.0474089541315475,0.0664182884320919,0.0190093343005444,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260807,"mean_neighbor_jaccard",0.901515151515151,0.781353055546604,-0.120162095968547,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260807,"median_neighbor_jaccard",0.818181818181818,0.818181818181818,0,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260807,"p10_neighbor_jaccard",0.818181818181818,0.666666666666667,-0.151515151515151,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260808,"pearson",0.999675058937017,0.996129701623962,-0.00354535731305505,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260808,"spearman",0.999449033612911,0.995292791105198,-0.00415624250771307,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260808,"nonnegative_scale",1.00265479668395,0.990962936325377,-0.0116918603585731,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260808,"relative_stress",0.0149221872355243,0.0332334137890849,0.0183112265535606,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260808,"left_median_distance",1.04114569111203,0.0276659342457,-1.01347975686633,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260808,"right_median_distance",1.03751097952475,0.0273054720296919,-1.01020550749506,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260808,"median_abs_median_scaled_change",0.0139585051539264,0.0229163918230398,0.0089578866691134,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260808,"p95_abs_median_scaled_change",0.0519350407336084,0.0791764624583815,0.0272414217247731,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260808,"mean_neighbor_jaccard",0.901759530791789,0.743307767501316,-0.158451763290473,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260808,"median_neighbor_jaccard",0.909090909090909,0.742424242424242,-0.166666666666667,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260808,"p10_neighbor_jaccard",0.818181818181818,0.538461538461538,-0.27972027972028,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260809,"pearson",0.999629975267561,0.9971345996821,-0.00249537558546098,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260809,"spearman",0.99940000987978,0.99640156298321,-0.00299844689656992,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260809,"nonnegative_scale",1.00571712748706,0.989633229546797,-0.016083897940263,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260809,"relative_stress",0.0158781541774971,0.02917706215199,0.0132989079744929,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260809,"left_median_distance",1.01349644468529,0.0277310665727456,-0.985765378112544,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260809,"right_median_distance",1.0174216045978,0.0273588059659983,-0.990062798631802,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260809,"median_abs_median_scaled_change",0.0127298380153049,0.0211808760472602,0.0084510380319553,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260809,"p95_abs_median_scaled_change",0.0558572402447046,0.0682933618483466,0.012436121603642,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260809,"mean_neighbor_jaccard",0.916854650725618,0.80656171785204,-0.110292932873578,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260809,"median_neighbor_jaccard",1,0.818181818181818,-0.181818181818182,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","fit_scope_effect",20260809,"p10_neighbor_jaccard",0.818181818181818,0.666666666666667,-0.151515151515151,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260805,"pearson",0.967371615415119,0.917680094366329,-0.0496915210487899,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260805,"spearman",0.946357564111563,0.897897088137934,-0.048460475973629,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260805,"nonnegative_scale",1.00085880085689,1.1801619932354,0.17930319237851,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260805,"relative_stress",0.146754387089426,0.152129990141599,0.00537560305217299,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260805,"left_median_distance",1.02826616889684,0.0268523765861435,-1.0014137923107,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260805,"right_median_distance",1.11469655188785,0.0323439749050355,-1.08235257698281,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260805,"median_abs_median_scaled_change",0.153667129326108,0.107635952101635,-0.046031177224473,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260805,"p95_abs_median_scaled_change",0.481653143306578,0.352950188428184,-0.128702954878394,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260805,"mean_neighbor_jaccard",0.397750582972295,0.318012845926558,-0.079737737045737,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260805,"median_neighbor_jaccard",0.428571428571429,0.333333333333333,-0.095238095238096,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260805,"p10_neighbor_jaccard",0.176470588235294,0.130718954248366,-0.045751633986928,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260806,"pearson",0.967993386868695,0.912157095386829,-0.055836291481866,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260806,"spearman",0.946438444983456,0.893413323907739,-0.053025121075717,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260806,"nonnegative_scale",1.00677371837607,1.16958554036678,0.16281182199071,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260806,"relative_stress",0.146597096349064,0.159798704938849,0.013201608589785,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260806,"left_median_distance",1.01388653649772,0.0275126351768027,-0.986373901320917,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260806,"right_median_distance",1.12444920472567,0.0326639282923475,-1.09178527643332,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260806,"median_abs_median_scaled_change",0.164034396228959,0.116025985601392,-0.048008410627567,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260806,"p95_abs_median_scaled_change",0.50873864429342,0.362953104719119,-0.145785539574301,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260806,"mean_neighbor_jaccard",0.407783063973766,0.307414204635317,-0.100368859338449,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260806,"median_neighbor_jaccard",0.428571428571429,0.333333333333333,-0.095238095238096,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260806,"p10_neighbor_jaccard",0.176470588235294,0.111111111111111,-0.065359477124183,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260807,"pearson",0.969050908755887,0.903052811413041,-0.065998097342846,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260807,"spearman",0.945844202215999,0.879213004399276,-0.066631197816723,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260807,"nonnegative_scale",0.999543182981855,1.18501757673386,0.185474393752005,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260807,"relative_stress",0.143939423900061,0.164596960245578,0.020657536345517,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260807,"left_median_distance",1.04237609404409,0.0272059447057426,-1.01517014933835,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260807,"right_median_distance",1.12236140525223,0.032898908117936,-1.08946249713429,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260807,"median_abs_median_scaled_change",0.155929771892994,0.114840724733801,-0.041089047159193,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260807,"p95_abs_median_scaled_change",0.473580258284564,0.383747897645311,-0.089832360639253,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260807,"mean_neighbor_jaccard",0.395092754294542,0.283751727150309,-0.111341027144233,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260807,"median_neighbor_jaccard",0.428571428571429,0.25,-0.178571428571429,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260807,"p10_neighbor_jaccard",0.176470588235294,0.111111111111111,-0.065359477124183,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260808,"pearson",0.968656920387652,0.912402151798904,-0.056254768588748,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260808,"spearman",0.947729880000782,0.894717040035536,-0.053012839965246,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260808,"nonnegative_scale",1.01145968679526,1.18542682486121,0.17396713806595,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260808,"relative_stress",0.144803596338452,0.156200426071486,0.011396829733034,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260808,"left_median_distance",1.03751097952475,0.0273054720296919,-1.01020550749506,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260808,"right_median_distance",1.14517234904415,0.0331469722938972,-1.11202537675025,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260808,"median_abs_median_scaled_change",0.156997693207035,0.114520040171734,-0.042477653035301,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260808,"p95_abs_median_scaled_change",0.490630753096547,0.354850964139586,-0.135779788956961,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260808,"mean_neighbor_jaccard",0.419651703451514,0.305908176014538,-0.113743527436976,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260808,"median_neighbor_jaccard",0.428571428571429,0.333333333333333,-0.095238095238096,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260808,"p10_neighbor_jaccard",0.176470588235294,0.176470588235294,0,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260809,"pearson",0.968795640369168,0.904011344931125,-0.064784295438043,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260809,"spearman",0.946719466779621,0.883731168271916,-0.062988298507705,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260809,"nonnegative_scale",1.00596050007438,1.17774066139308,0.1717801613187,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260809,"relative_stress",0.144069332521592,0.166403444226717,0.022334111705125,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260809,"left_median_distance",1.0174216045978,0.0273588059659983,-0.990062798631802,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260809,"right_median_distance",1.12049883174266,0.0329266456147322,-1.08757218612793,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260809,"median_abs_median_scaled_change",0.156042790223242,0.113202439973125,-0.042840350250117,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260809,"p95_abs_median_scaled_change",0.490542173930126,0.388208653709157,-0.102333520220969,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260809,"mean_neighbor_jaccard",0.411224350097565,0.310378277165204,-0.100846072932361,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260809,"median_neighbor_jaccard",0.428571428571429,0.333333333333333,-0.095238095238096,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","layer_effect",20260809,"p10_neighbor_jaccard",0.176470588235294,0.111111111111111,-0.065359477124183,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","net_migration_effect",20260805,"pearson",0.967445680573205,0.920450705939692,-0.046994974633513,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","net_migration_effect",20260805,"spearman",0.947391645648486,0.902274243656708,-0.0451174019917779,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","net_migration_effect",20260805,"nonnegative_scale",1.00450178604585,1.16578806480482,0.16128627875897,"paired_descriptive_dimension_difference"
"mv09_dimension_delta_v1","internal124","net_migration_effect",20260805,"relative_stress",0.146434428457957,0.149562367943787,0.00312793948582998,"paired_descriptive_dimension_difference"
