"contract_id","source_order","dataset_scope","unit_id","fit_cells","source_origin","cache_bytes","cache_sha256","worker_audit_sha256","private_locator_state","outcome_label_state","biological_outcomes_computed"
"mv08r_source_cache_binding_v1",40,"internal124","SRA701877_SRS3279690",2157,"mv08q_production",15633706,"e74efd3a8e47bda432bf44c94829edf3531d5b55dd731aea280f610538ad7702","ca4bff23a79dc1e6013fcac217c360cebac8f98ffbb8b5951c83b0b64e31ad5e","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",41,"internal124","SRA701877_SRS3279691",1640,"mv08q_production",15633706,"e0820b0c57df0ed4a79f29fc39d4ef6b988f0d2aef3ec052f3505a59995eb7c9","5c7a67a65953472a14c7a4be4e1690deb471083a427abc0c685283471a0dd5c4","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",42,"internal124","SRA701877_SRS3279692",2619,"mv08q_production",15633706,"2791e742818df87ae6465fb6e21767528e39a71025b96bac6babe649babe7520","91afdaf9a922e18c4fc926722a145402ad9f0788157e9c600992a874e886eeda","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",43,"internal124","SRA701877_SRS3279693",2491,"mv08q_production",15633706,"c3b36ea36debe286c96c1a79750b3b6391299859a63539828d360b2dbd90713b","dac44862edf375be8b2ad74ad55bfd0c6c874a11c17058063e368ae52916852a","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",44,"internal124","SRA701877_SRS3279694",2213,"mv08q_production",15633706,"622f8689bf38c86e89eea97bcb2babaa45db21d94a9519d3ee1689caad8e108c","9ecff16cb6959c0a4ab7a42544a46dca7c501da4ab7c6eb607dc34ef1faecc70","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",45,"internal124","SRA701877_SRS3279695",2992,"mv08q_production",15633706,"5d9fbd3ddee3e895b021da9b6547c2c707c93ca5c8225f080fb5a704a440b1ef","e0708d1a01e4f909abe37d425863347cdc95d6cea2bd0a6cb4606ba4ffcad0be","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",46,"internal124","SRA703206_SRS3296611",4175,"mv08q_production",15641386,"dd248d4a631633614deefec7b0e3c86c8025a78c1618db21096ea33e763de9aa","f7ebdaf4b081597dd40364a782a0f4b5e1346df0e8caaf84addf5f1165be7cfc","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",47,"internal124","SRA703206_SRS3296612",5705,"mv08q_production",15641386,"a691f396f62337f5e62a9095804eff22df43acf0d5a6191af43b700efc7f7ba3","8e627a2c3d99df899472a53e0fcaa935864b391cb56e6383f8130e3418d5519c","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",48,"internal124","SRA703206_SRS3296613",2950,"mv08q_production",15641386,"6cb0b83b2de2b4468cd02e57d04032b7653418d4ce9e4e15fe00d18a3da0073c","d5941502fce20c46fc299cfcf257372652a2665bc3f402c825fe95316d1bccd2","runtime_argument_only_not_public","closed",FALSE
"mv08r_source_cache_binding_v1",49,"internal124","SRA703206_SRS3296614",4223,"mv08q_production",15641386,"b2ab55c0f0c44bc31268649303c389fc8da557041533091adced44bac63441f6","e95b81fe4fb1f95a7db06283ebf71b1490ba8104c9daf4d11e79fc5831dcd8f1","runtime_argument_only_not_public","closed",FALSE
