"contract_id","stack_id","homology_dimension","method_id","k","seeds","seed_pairs","mean_adjusted_rand","minimum_adjusted_rand","maximum_adjusted_rand","outcome_label_state","biological_outcomes_computed","representation_label","method_label"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_average_v1",8,5,10,0.725211461149581,0.676325196924071,0.812214713955785,"closed",FALSE,"All-QC SCT data","Average linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_average_v1",9,5,10,0.649159350178509,0.555939270316736,0.754619407981205,"closed",FALSE,"All-QC SCT data","Average linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_average_v1",10,5,10,0.639162116423473,0.510740445352263,0.746930011447914,"closed",FALSE,"All-QC SCT data","Average linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_complete_v1",2,5,10,0.481022819007964,0.0799092785720416,0.96757333609894,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_complete_v1",3,5,10,0.46598520676286,0.0600690330225131,0.927328717796184,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_complete_v1",4,5,10,0.568177475010592,0.347207702451502,0.814349093052577,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_complete_v1",5,5,10,0.507967192519001,0.2805713086662,0.696344382900515,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_complete_v1",6,5,10,0.455504709052227,0.318977908387732,0.691008310520393,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_complete_v1",7,5,10,0.400874111553316,0.283075907300035,0.575564131770211,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_complete_v1",8,5,10,0.4086773864115,0.286241796923016,0.542338367554726,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_complete_v1",9,5,10,0.370536119321262,0.252362795549505,0.491996653600669,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_complete_v1",10,5,10,0.366024793290817,0.277235607747857,0.464603478184236,"closed",FALSE,"All-QC SCT data","Complete linkage"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_single_diagnostic_v1",2,5,10,0.294308943089433,-0.00813008130080934,1,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_single_diagnostic_v1",3,5,10,0.440388753252284,-0.0163248716367714,1,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_single_diagnostic_v1",4,5,10,0.519278101431603,0.314074425326287,1,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_single_diagnostic_v1",5,5,10,0.404107536428553,0.190535143707934,0.738477366255144,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_single_diagnostic_v1",6,5,10,0.39144914083012,0.15083646577719,0.578099232409031,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_single_diagnostic_v1",7,5,10,0.404341446964608,0.136086227502232,0.689693836906999,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_single_diagnostic_v1",8,5,10,0.372271244744842,0.171245424300318,0.589889691010654,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
"mv10_seed_stability_v1","allqc_data_exact500","H1","hclust_single_diagnostic_v1",9,5,10,0.404267147288897,0.276246617029169,0.631469211338119,"closed",FALSE,"All-QC SCT data","Single linkage (diagnostic)"
