"contract_id","stratum_id","weight_id","gene_weight","cell_weight","first_sample_id","second_sample_id","distance"
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA716608_SRS3391629","SRA779509_SRS3805254",1.07184282856227
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA716608_SRS3391629","SRA850958_SRS4386111",1.6995205315637
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA728025_SRS3454425","SRA742961_SRS3565197",0.906502637660526
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA728025_SRS3454425","SRA742961_SRS3565203",1.10019392536084
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA728025_SRS3454425","SRA749327_SRS3693910",1.032512866119
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA728025_SRS3454425","SRA779509_SRS3805254",0.917775243361467
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA728025_SRS3454425","SRA850958_SRS4386111",2.18104506912837
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA742961_SRS3565197","SRA742961_SRS3565203",0.679191088374758
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA742961_SRS3565197","SRA749327_SRS3693910",0.636465151104571
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA742961_SRS3565197","SRA779509_SRS3805254",0.545696460464576
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA742961_SRS3565197","SRA850958_SRS4386111",2.07166256638028
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA742961_SRS3565203","SRA749327_SRS3693910",0.55418505119038
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA742961_SRS3565203","SRA779509_SRS3805254",0.683448190000191
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA742961_SRS3565203","SRA850958_SRS4386111",1.93916010621346
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA749327_SRS3693910","SRA779509_SRS3805254",0.605147862465276
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA749327_SRS3693910","SRA850958_SRS4386111",1.87664303751
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_025",0.25,0.75,"SRA779509_SRS3805254","SRA850958_SRS4386111",2.08448185053946
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA645804_SRS2823407","SRA701877_SRS3279684",0.956359854569807
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA645804_SRS2823407","SRA701877_SRS3279688",1.13857159761811
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA645804_SRS2823407","SRA716608_SRS3391629",1.74091608032946
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA645804_SRS2823407","SRA728025_SRS3454425",1.03631978837448
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA645804_SRS2823407","SRA742961_SRS3565197",1.28414249615532
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA645804_SRS2823407","SRA742961_SRS3565203",1.52118996946688
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA645804_SRS2823407","SRA749327_SRS3693910",1.46298042842603
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA645804_SRS2823407","SRA779509_SRS3805254",1.22381403408793
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA645804_SRS2823407","SRA850958_SRS4386111",2.38833455574288
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA701877_SRS3279684","SRA701877_SRS3279688",0.580229784160111
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA701877_SRS3279684","SRA716608_SRS3391629",1.48322231959424
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA701877_SRS3279684","SRA728025_SRS3454425",0.69678886548799
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA701877_SRS3279684","SRA742961_SRS3565197",1.01617584632808
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA701877_SRS3279684","SRA742961_SRS3565203",1.36106221165997
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA701877_SRS3279684","SRA749327_SRS3693910",1.26412736534646
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA701877_SRS3279684","SRA779509_SRS3805254",1.05000721984371
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA701877_SRS3279684","SRA850958_SRS4386111",2.0020804382587
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA701877_SRS3279688","SRA716608_SRS3391629",1.3039341141658
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA701877_SRS3279688","SRA728025_SRS3454425",0.691042398612959
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA701877_SRS3279688","SRA742961_SRS3565197",0.919274018619014
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA701877_SRS3279688","SRA742961_SRS3565203",1.20744395066923
"mv06a_label_closed_fusion_feasibility_v1","large__sct_whole","gene_weight_050",0.5,0.5,"SRA701877_SRS3279688","SRA749327_SRS3693910",1.09436977871442
