"contract_id","panel_sha256","panel_order","feature_id","gene","category","median_variance_rank","minimum_variance","finite_cache_count","positive_cache_count","selected_all_cache_core"
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",264,"N4BP2L2-ENSG00000244754.8","N4BP2L2","retained_candidate",412,0.0407621067390102,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",265,"C9orf16-ENSG00000171159.4","C9orf16","retained_candidate",413,0.0226551733268245,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",266,"CUTA-ENSG00000112514.15","CUTA","retained_candidate",413,0.0723255574444777,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",267,"NDUFB11-ENSG00000147123.10","NDUFB11","retained_candidate",414,0.0407621067390102,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",268,"NDUFB7-ENSG00000099795.6","NDUFB7","retained_candidate",414,0.0357900077491925,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",269,"PPP1CB-ENSG00000213639.9","PPP1CB","retained_candidate",414,0.0336303782228735,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",270,"HIST1H4C-ENSG00000197061.4","HIST1H4C","retained_candidate",416.5,0.00619056286291743,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",271,"SRRM1-ENSG00000133226.16","SRRM1","retained_candidate",419.5,0.0639616088470095,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",272,"C19orf53-ENSG00000104979.8","C19orf53","retained_candidate",422.5,0.0621442923491341,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",273,"PRDX6-ENSG00000117592.8","PRDX6","retained_candidate",423,0.0322036298641899,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",274,"SNRPB-ENSG00000125835.18","SNRPB","retained_candidate",424,0.0203814890246659,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",275,"SEM1-ENSG00000127922.9","SEM1","retained_candidate",426,0.0623820849075085,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",276,"ST13-ENSG00000100380.13","ST13","retained_candidate",426,0.0578169086346678,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",277,"TMA7-ENSG00000232112.3","TMA7","retained_candidate",427,0.0336315803027625,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",278,"C11orf58-ENSG00000110696.9","C11orf58","retained_candidate",427.5,0.0701164089587744,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",279,"CAPZB-ENSG00000077549.17","CAPZB","retained_candidate",427.5,0.0517426518130602,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",280,"COPE-ENSG00000105669.13","COPE","retained_candidate",427.5,0.0866664754745926,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",281,"C12orf57-ENSG00000111678.10","C12orf57","retained_candidate",428,0.0346932863346612,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",282,"FXYD5-ENSG00000089327.14","FXYD5","retained_candidate",431,0.00928188175357663,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",283,"LSM7-ENSG00000130332.14","LSM7","retained_candidate",431.5,0.0416657849006564,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",284,"TRMT112-ENSG00000173113.6","TRMT112","retained_candidate",433.5,0.0515586008165433,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",285,"TUBB4B-ENSG00000188229.5","TUBB4B","retained_candidate",435,0.0140753057942886,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",286,"MCL1-ENSG00000143384.12","MCL1","retained_candidate",437,0.0203814890246659,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",287,"BSG-ENSG00000172270.18","BSG","retained_candidate",438.5,0.0632022713636679,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",288,"RANBP1-ENSG00000099901.16","RANBP1","retained_candidate",439.5,0.0134036303042481,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",289,"JTB-ENSG00000143543.14","JTB","retained_candidate",440.5,0.0176017712812229,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",290,"GNAS-ENSG00000087460.24","GNAS","retained_candidate",441,0.060575615125115,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",291,"COX5A-ENSG00000178741.11","COX5A","retained_candidate",442,0.0157557175133777,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",292,"SNRPG-ENSG00000143977.13","SNRPG","retained_candidate",442,0.0424041269140409,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",293,"MTDH-ENSG00000147649.9","MTDH","retained_candidate",445,0.040445470174275,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",294,"DNAJB1-ENSG00000132002.7","DNAJB1","retained_candidate",447.5,0.0215215979635356,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",295,"PSMA4-ENSG00000041357.15","PSMA4","retained_candidate",447.5,0.0457013141739821,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",296,"AC004453.1-ENSG00000146677.7","AC004453.1","retained_candidate",449.5,0.0267182019208209,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",297,"SNRPE-ENSG00000182004.12","SNRPE","retained_candidate",450,0.0343520660124711,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",298,"SELENOK-ENSG00000113811.10","SELENOK","retained_candidate",451,0.0544179292488775,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",299,"TPM3-ENSG00000143549.19","TPM3","retained_candidate",454,0.0226551733268245,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",300,"PPA1-ENSG00000180817.11","PPA1","retained_candidate",454.5,0.044702232219022,620,620,TRUE
"mv07fp_global_core_panel_v1","48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e",301,"NOP10-ENSG00000182117.5","NOP10","retained_candidate",456,0.0307375729593946,620,620,TRUE
