"contract_id","queue_order","stage","stage_order","sample_id","seed","expected_post_qc_cells","selected_cells","queue_role","outcome_label_state","biological_outcomes_computed","panel_fit","pca","ph","landscape"
"mv07f_upstream_queue_v1",72,"sct",38,"SRA701877_SRS3279687",20260806,2106,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",73,"sct",39,"SRA701877_SRS3279688",20260806,396,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",74,"sct",40,"SRA701877_SRS3279689",20260806,1090,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",75,"sct",41,"SRA701877_SRS3279690",20260806,2157,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",76,"sct",42,"SRA701877_SRS3279691",20260806,1640,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",77,"sct",43,"SRA701877_SRS3279692",20260806,2619,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",78,"sct",44,"SRA701877_SRS3279693",20260806,2491,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",79,"sct",45,"SRA701877_SRS3279694",20260806,2213,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",80,"sct",46,"SRA701877_SRS3279695",20260806,2992,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",81,"sct",47,"SRA742961_SRS3565195",20260806,5718,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",82,"sct",48,"SRA742961_SRS3565196",20260806,7791,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",83,"sct",49,"SRA742961_SRS3565197",20260806,11475,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",84,"sct",50,"SRA742961_SRS3565198",20260806,7396,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",85,"sct",51,"SRA742961_SRS3565199",20260806,8050,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",86,"sct",52,"SRA742961_SRS3565201",20260806,7482,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",87,"sct",53,"SRA742961_SRS3565202",20260806,5748,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",88,"sct",54,"SRA742961_SRS3565203",20260806,6335,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",89,"sct",55,"SRA742961_SRS3565204",20260806,4900,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",90,"sct",56,"SRA742961_SRS3565205",20260806,4751,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",91,"sct",57,"SRA742961_SRS3565206",20260806,6956,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",92,"sct",58,"SRA742961_SRS3565207",20260806,6257,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",93,"sct",59,"SRA742961_SRS3565208",20260806,8118,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",94,"sct",60,"SRA742961_SRS3565209",20260806,7044,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",95,"sct",61,"SRA742961_SRS3565210",20260806,5566,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",96,"sct",62,"SRA742961_SRS3565211",20260806,5981,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",97,"sct",63,"SRA850958_SRS4386101",20260806,1015,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",98,"sct",64,"SRA850958_SRS4386109",20260806,809,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",99,"sct",65,"SRA850958_SRS4386110",20260806,617,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",100,"sct",66,"SRA850958_SRS4386111",20260806,778,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",101,"sct",67,"SRA850958_SRS4386112",20260806,713,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",102,"sct",68,"SRA850958_SRS4386113",20260806,584,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",103,"sct",69,"SRA701877_SRS3279684",20260807,1885,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",104,"sct",70,"SRA701877_SRS3279685",20260807,943,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",105,"sct",71,"SRA701877_SRS3279686",20260807,1632,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",106,"sct",72,"SRA701877_SRS3279687",20260807,2106,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",107,"sct",73,"SRA701877_SRS3279688",20260807,396,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",108,"sct",74,"SRA701877_SRS3279689",20260807,1090,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",109,"sct",75,"SRA701877_SRS3279690",20260807,2157,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",110,"sct",76,"SRA701877_SRS3279691",20260807,1640,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",111,"sct",77,"SRA701877_SRS3279692",20260807,2619,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
"mv07f_upstream_queue_v1",112,"sct",78,"SRA701877_SRS3279693",20260807,2491,384,"one_atomic_sct_cache","closed",FALSE,FALSE,FALSE,FALSE,FALSE
