"view","contribution","cumulative_fraction"
"cell",0.00194819774210289,0.48164175190139
"cell",0.00196664086301932,0.485051140833989
"cell",0.00198633771742463,0.488329399423027
"cell",0.00200007934264257,0.491738788355626
"cell",0.0020254829144297,0.495017046944663
"cell",0.00204287371636029,0.498426435877262
"cell",0.00206717244831656,0.5017046944663
"cell",0.00208324421200298,0.505114083398899
"cell",0.0020989889662596,0.508392341987936
"cell",0.0021157295898737,0.511801730920535
"cell",0.00213943324872684,0.515079989509573
"cell",0.00216666382674916,0.518489378442171
"cell",0.00218787157957787,0.521767637031209
"cell",0.00221492881226867,0.525177025963808
"cell",0.00224363990872729,0.528455284552846
"cell",0.00226526835286029,0.531864673485445
"cell",0.00228682188612988,0.535142932074482
"cell",0.00230905912733911,0.538552321007081
"cell",0.00233445024746086,0.541830579596119
"cell",0.00235334819161399,0.545239968528718
"cell",0.00237266827971037,0.548518227117755
"cell",0.00240089788773204,0.551927616050354
"cell",0.00242309567698258,0.555205874639392
"cell",0.00244870783967022,0.558615263571991
"cell",0.00247649913967873,0.561893522161028
"cell",0.00250036813958504,0.565302911093627
"cell",0.00252366181638641,0.568581169682665
"cell",0.0025508170939881,0.571990558615264
"cell",0.00256734539945564,0.575268817204301
"cell",0.00259478555710895,0.5786782061369
"cell",0.0026239276207672,0.581956464725938
"cell",0.00264814392913551,0.585365853658537
"cell",0.00266966283492378,0.588644112247574
"cell",0.00269398251024231,0.592053501180173
"cell",0.00272039833212523,0.595331759769211
"cell",0.00275535829799393,0.59874114870181
"cell",0.00277745960432161,0.602019407290847
"cell",0.00281359149967455,0.605428796223446
"cell",0.00283591044362291,0.608707054812484
"cell",0.00286133699365483,0.612116443745083
"cell",0.00289541421418765,0.61539470233412
"cell",0.00292912531273947,0.618804091266719
"cell",0.00295520690879958,0.622082349855757
"cell",0.00298040746250423,0.625491738788356
"cell",0.00300357239747499,0.628769997377393
"cell",0.00303876861525383,0.632179386309992
"cell",0.00307782014432722,0.63545764489903
"cell",0.0031078484084904,0.638867033831629
"cell",0.00315375373439372,0.642145292420666
"cell",0.00318596199200882,0.645554681353265
"cell",0.00322800427566216,0.648832939942303
"cell",0.00326531753093834,0.652242328874902
"cell",0.0032976175363974,0.655520587463939
"cell",0.00333551095788603,0.658929976396538
"cell",0.00337910635337333,0.662208234985576
"cell",0.00340788958605549,0.665617623918175
"cell",0.00344473873822499,0.668895882507212
"cell",0.00348552658007843,0.672305271439811
"cell",0.00351429634920808,0.675583530028849
"cell",0.00354184250910493,0.678992918961448
"cell",0.00359146501752091,0.682271177550485
"cell",0.00363997817392715,0.685680566483084
"cell",0.003684394499801,0.688958825072122
"cell",0.0037201229936191,0.692368214004721
"cell",0.00377039514824967,0.695646472593758
"cell",0.00380966467847075,0.699055861526357
"cell",0.00388064135427922,0.702334120115395
"cell",0.00391840278062865,0.705743509047994
"cell",0.00396027385008937,0.709021767637031
"cell",0.00399118065484168,0.71243115656963
"cell",0.00403503384714971,0.715709415158668
"cell",0.00409621766554857,0.719118804091267
"cell",0.00412958494648976,0.722397062680304
"cell",0.00418478413679571,0.725806451612903
"cell",0.00424347344557246,0.729084710201941
"cell",0.00428865552264068,0.73249409913454
"cell",0.00434269894370746,0.735772357723577
"cell",0.00441255327347876,0.739181746656176
"cell",0.00446016429275297,0.742460005245214
"cell",0.00451196995537724,0.745869394177813
"cell",0.00456697016900694,0.74914765276685
"cell",0.00462023121525805,0.752557041699449
"cell",0.0046895966924017,0.755835300288487
"cell",0.00473838927737699,0.759244689221086
"cell",0.00477463003933255,0.762522947810123
"cell",0.00484610689472391,0.765932336742722
"cell",0.00491654193238877,0.76921059533176
"cell",0.00497504097807691,0.772619984264359
"cell",0.00502303271993416,0.775898242853396
"cell",0.00511690777720145,0.779307631785995
"cell",0.00519453648354671,0.782585890375033
"cell",0.00526228820244355,0.785995279307632
"cell",0.00535648293787047,0.789273537896669
"cell",0.00542112964022814,0.792682926829268
"cell",0.00549759969101335,0.795961185418306
"cell",0.00558171620607707,0.799370574350905
"cell",0.00570131506876301,0.802648832939942
"cell",0.0058107483707064,0.806058221872541
"cell",0.0058965220787327,0.809336480461579
"cell",0.00600917551885436,0.812745869394178
"cell",0.00613637570427837,0.816024127983215
"cell",0.00630059100649206,0.819433516915814
"cell",0.00638925042162288,0.822711775504852
"cell",0.00650960858420308,0.826121164437451
"cell",0.00666025025414209,0.829399423026488
"cell",0.00678788259665305,0.832808811959087
"cell",0.00691496810114976,0.836087070548125
"cell",0.0070452691364199,0.839496459480724
"cell",0.00718499945885388,0.842774718069761
"cell",0.00729913253030163,0.84618410700236
"cell",0.00748244481335497,0.849462365591398
"cell",0.00765333003845683,0.852871754523997
"cell",0.00781661377106499,0.856150013113034
"cell",0.00795165759252996,0.859559402045633
"cell",0.00818530587339497,0.862837660634671
"cell",0.00834215871876878,0.86624704956727
"cell",0.0085208170521651,0.869525308156307
"cell",0.00868290130259604,0.872934697088906
"cell",0.00882736959899704,0.876212955677944
"cell",0.00901072151227205,0.879622344610543
"cell",0.00924491278326287,0.88290060319958
"cell",0.00948645527355738,0.886309992132179
"cell",0.00969746152269227,0.889588250721217
"cell",0.010024667082436,0.892997639653816
"cell",0.0102957730750122,0.896275898242853
"cell",0.010672094480383,0.899685287175452
"cell",0.0110309939687153,0.90296354576449
"cell",0.0114102752590031,0.906372934697089
"cell",0.0116183874201157,0.909651193286126
"cell",0.0119072250925536,0.913060582218725
"cell",0.0122566943526231,0.916338840807763
"cell",0.0125726555675648,0.919748229740362
"cell",0.0128722058657414,0.923026488329399
"cell",0.0133207748697425,0.926435877261998
"cell",0.0136633812215313,0.929714135851036
"cell",0.0140840261770915,0.933123524783635
"cell",0.014528391749625,0.936401783372672
"cell",0.0148949895871723,0.939811172305271
"cell",0.0154218452402533,0.943089430894309
"cell",0.0162140662297135,0.946498819826908
"cell",0.0166245007845742,0.949777078415945
"cell",0.0174067069457555,0.953186467348545
"cell",0.0183138159684024,0.956464725937582
"cell",0.0189099520561364,0.959874114870181
"cell",0.0196456240505381,0.963152373459218
"cell",0.0208823513513112,0.966561762391817
"cell",0.022142969594803,0.969840020980855
"cell",0.0239467237781642,0.973249409913454
"cell",0.0253898316007112,0.976527668502492
"cell",0.027931451382305,0.979937057435091
"cell",0.0301834668760851,0.983215316024128
"cell",0.0330101417104824,0.986624704956727
"cell",0.0369406391690075,0.989902963545764
"cell",0.044800294310408,0.993312352478363
"cell",0.054718264050416,0.996590611067401
"cell",0.119179703017052,1
"gene",0.0000470210994907346,0.0001311303435615
"gene",0.0000640173729618965,0.0035405192761605
"gene",0.0000730656342865191,0.00681877786519801
"gene",0.0000792254652134428,0.010228166797797
"gene",0.0000878465211487507,0.0135064253868345
"gene",0.0000969912186314571,0.0169158143194335
"gene",0.000102113666350237,0.020194072908471
"gene",0.000107478456468414,0.02360346184107
