"dimension","birth","death","homology"
0,0,7.49196889338372,"H0"
0,0,7.67195170449803,"H0"
0,0,7.74931269415323,"H0"
0,0,7.7509495461301,"H0"
0,0,7.80100628551714,"H0"
0,0,7.91016512767349,"H0"
0,0,7.94728125150145,"H0"
0,0,8.0686385572909,"H0"
0,0,8.11234340871279,"H0"
0,0,8.12139472963549,"H0"
0,0,8.1364002284836,"H0"
0,0,8.17228410905767,"H0"
0,0,8.43189190501554,"H0"
0,0,8.54122223657562,"H0"
0,0,8.57807025723615,"H0"
0,0,8.60561799970198,"H0"
0,0,8.69417416016003,"H0"
0,0,8.87019940386032,"H0"
0,0,9.04835558415504,"H0"
0,0,9.48363075098895,"H0"
0,0,9.60391616045807,"H0"
0,0,9.80073799405387,"H0"
0,0,11.1690049592351,"H0"
1,10.5192752828553,10.6185046244034,"H1"
1,10.3588335922488,12.440780614464,"H1"
1,10.1702955806871,10.4047899663945,"H1"
1,9.97254924726975,10.0382363021118,"H1"
1,9.57579322609438,9.9017832750506,"H1"
1,9.46227903805321,9.92468819402474,"H1"
1,9.38283114560329,9.45616102673493,"H1"
1,9.3381415013509,9.6382479469201,"H1"
1,9.23534512914388,9.59184772049638,"H1"
1,9.15002938492143,9.59088494955251,"H1"
1,9.11093638699558,10.0935616673915,"H1"
1,9.07080040626514,9.19557672912469,"H1"
1,8.97726094786523,9.21025969635324,"H1"
1,8.88508353840056,9.10080243528278,"H1"
1,8.77850005699517,9.12438517783379,"H1"
1,8.76490415783634,9.19667972650704,"H1"
1,8.7261346936123,9.18859946120962,"H1"
1,8.52163691492204,8.53755327447352,"H1"
1,8.45587593514696,8.56079564793516,"H1"
1,8.3994628037301,8.76994847570996,"H1"
1,8.39907905587309,8.43799352980897,"H1"
1,8.29985253017454,8.51094703512583,"H1"
1,8.2959348959602,8.5811444281746,"H1"
1,8.29223362188518,9.29364772366194,"H1"
1,8.27693754599313,8.30002997163949,"H1"
1,8.22210869727778,8.22869289157195,"H1"
1,7.83813380059531,8.44966255163375,"H1"
1,7.79338774998648,8.20613358440432,"H1"
1,7.7520194890959,7.96433093002937,"H1"
1,7.74224182479022,7.84695399833803,"H1"
1,7.7354165967015,7.87658376085175,"H1"
1,7.64058224455966,7.8283104485402,"H1"
1,7.51946692318094,8.62411275219447,"H1"
1,7.50331114198824,7.75989271235632,"H1"
1,7.47951427041138,8.87208603834046,"H1"
1,7.4540190827361,7.69271353701593,"H1"
1,7.44916317997517,8.74961586429675,"H1"
1,7.40304639999691,7.71636722122344,"H1"
1,7.34569435624239,7.65765505331544,"H1"
1,7.33856746787523,7.43714873581531,"H1"
1,7.32927663490482,7.67781659853034,"H1"
1,7.32226768764507,7.69271353701593,"H1"
1,7.19476028998241,7.41396672275061,"H1"
1,7.15634393545972,7.4849553816968,"H1"
1,7.15008106836161,7.23826870654216,"H1"
1,7.1143424817414,7.28822182878292,"H1"
1,7.08231714880008,7.15723779968582,"H1"
1,7.04479158649929,7.13751229365682,"H1"
1,6.96062952305878,7.10008107531223,"H1"
1,6.95647875102726,7.16704632962454,"H1"
1,6.95434895298948,7.08851929451128,"H1"
1,6.95316850705022,6.96631189117061,"H1"
1,6.94572163001539,7.1525373137685,"H1"
1,6.92201838119628,7.2284909337216,"H1"
1,6.89558479807811,7.35062604630016,"H1"
1,6.8868400936418,7.29304296556517,"H1"
1,6.86167275628976,7.26228059480855,"H1"
1,6.7713216935512,6.79819808224111,"H1"
1,6.76640026073966,6.81623765308248,"H1"
1,6.74734067274741,7.14939136143691,"H1"
1,6.72343389457562,6.89532922220494,"H1"
1,6.71295027997356,6.72214285471399,"H1"
1,6.67992518494933,6.70443784702861,"H1"
1,6.6567836948705,6.7959002790462,"H1"
1,6.62946560959065,6.63642774234631,"H1"
1,6.61971182596029,6.69292442476618,"H1"
1,6.6167939423411,6.82420296596069,"H1"
1,6.5920175933356,6.89921617833288,"H1"
1,6.5803944758197,6.90347750139677,"H1"
1,6.57971536107339,6.69672962478425,"H1"
1,6.57365114796602,6.82447742799148,"H1"
1,6.56838710430094,6.60543275238334,"H1"
1,6.5633780175963,6.76626656100787,"H1"
1,6.56190810377789,6.62390093106281,"H1"
1,6.55535340888697,6.70430425095494,"H1"
1,6.53492319167961,6.6427981239974,"H1"
1,6.53222126263126,6.56710221362701,"H1"
1,6.53145321013104,6.57244786067903,"H1"
